iteration,series,model,train_size,n_train,r2,rmse,pearson,spearman,fit_seconds
iteration_1,1,rf,250,250,0.4334574936482436,19.366835962764068,0.6807192449332784,0.6956697304854342,0.109
iteration_1,1,mlp,250,250,0.2620931869268245,22.102590853637675,0.6062307827318816,0.6295664117454878,0.692
iteration_1,1,cnn,250,250,0.4538203542286404,19.015606426981243,0.6858504863104988,0.6983592921770091,2.354
iteration_1,1,rf,500,500,0.5442751917678132,17.369757679193373,0.7424882841145832,0.7507043704996128,0.139
iteration_1,1,mlp,500,500,0.4423025973395506,19.215059573653267,0.7015410873723473,0.7216205719391123,1.001
iteration_1,1,cnn,500,500,0.5986162878068557,16.301302137049817,0.7824906232752231,0.7960338309519206,1.321
iteration_1,1,rf,1000,1000,0.6567421029924676,15.074839364309245,0.8134030979706977,0.8182691474253405,0.224
iteration_1,1,mlp,1000,1000,0.5764640180492975,16.74509363740248,0.7645591139202041,0.773940199091885,1.492
iteration_1,1,cnn,1000,1000,0.6498163571345891,15.226158713842263,0.8135164567527478,0.8189790706822864,2.446
iteration_1,1,rf,2000,2000,0.7458484217507841,12.971459075725974,0.865846520738883,0.8702121798016165,0.42
iteration_1,1,mlp,2000,2000,0.695133025145787,14.206844109479457,0.8382896956335144,0.8443871223688335,4.412
iteration_1,1,cnn,2000,2000,0.7540041765879808,12.761634179413043,0.8701892351073495,0.8718837719444463,5.351
iteration_1,2,rf,250,250,0.5257302970696305,17.596027916643116,0.7298528595966538,0.7283481435843818,0.107
iteration_1,2,mlp,250,250,0.2805876243089185,21.671596373347967,0.5875819930228314,0.5806129439552811,1.724
iteration_1,2,cnn,250,250,0.5510156422310695,17.12054386319541,0.7542367829766149,0.7506733487951278,0.535
iteration_1,2,rf,500,500,0.5797818021683939,16.563014390890817,0.7615392032905295,0.7568770513674932,0.129
iteration_1,2,mlp,500,500,0.4568093992276568,18.831203406812342,0.6946174618567134,0.6924827040652481,1.368
iteration_1,2,cnn,500,500,0.6201230205477023,15.747928681353226,0.7953866807407944,0.7943838212594443,1.253
iteration_1,2,rf,1000,1000,0.6981210811135501,14.038423646267816,0.8365203933190641,0.8311390330017108,0.223
iteration_1,2,mlp,1000,1000,0.5560074263737109,17.025105204508222,0.763135891691273,0.7643290307745353,3.426
iteration_1,2,cnn,1000,1000,0.7468975681694086,12.854349687680916,0.8657472380283445,0.8623357540344037,2.648
iteration_1,2,rf,2000,2000,0.766103122353665,12.357031774794926,0.8761070079556984,0.8706739617693209,0.394
iteration_1,2,mlp,2000,2000,0.6948764237731921,14.113665953676025,0.8380937469903382,0.8356899959243759,5.455
iteration_1,2,cnn,2000,2000,0.7881918340849531,11.759078810346107,0.888069186536417,0.8844236483465132,5.236
iteration_1,15,rf,250,250,0.40485132473843,18.17383118341733,0.6368687908724759,0.6388154356093884,0.1
iteration_1,15,mlp,250,250,0.3244229250932153,19.36293581469484,0.5718364657424382,0.5700778653883374,0.56
iteration_1,15,cnn,250,250,0.4118908178263804,18.06603028858659,0.6719407225356633,0.6724658758024641,0.542
iteration_1,15,rf,500,500,0.5240713342924076,16.25192037122345,0.7249669003039706,0.7314408831800977,0.136
iteration_1,15,mlp,500,500,0.4768699380474755,17.038783819310922,0.7031849532332357,0.7071469732440924,1.97
